longitude,latitude,year,count
120.5,-34.0,2023.0,2
120.5,-34.0,2024.0,1
120.5,-33.5,2021.0,12
120.5,-33.5,2022.0,1
120.5,-33.5,2023.0,3
120.5,-33.0,2020.0,17
120.5,-33.0,2021.0,4
120.5,-32.5,2023.0,5
120.5,-32.0,2022.0,2
120.5,-32.0,2024.0,3
120.5,-31.5,2023.0,1
120.5,-31.5,2024.0,8
120.5,-31.0,2022.0,19
120.5,-31.0,2023.0,22
120.5,-31.0,2024.0,7
120.5,-30.5,2022.0,11
120.5,-30.5,2024.0,3
120.5,-27.5,2021.0,5
120.5,-27.0,2022.0,2
120.5,-23.5,2021.0,8
120.5,-22.5,2023.0,1
120.5,-22.5,2024.0,3
120.5,-22.0,2020.0,3
120.5,-22.0,2021.0,12
120.5,-22.0,2022.0,4
120.5,-22.0,2023.0,5
120.5,-22.0,2024.0,5
120.5,-21.5,2020.0,2
120.5,-21.5,2021.0,4
120.5,-21.5,2024.0,2
120.5,-21.0,2021.0,3
120.5,-21.0,2022.0,29
120.5,-21.0,2023.0,6
120.5,-21.0,2024.0,1
120.5,-20.5,2022.0,8
120.5,-20.5,2024.0,1
120.5,-20.0,2021.0,4
121.0,-34.0,2022.0,1
121.0,-34.0,2023.0,5
121.0,-33.5,2023.0,1
121.0,-33.5,2024.0,2
121.0,-32.5,2020.0,25
121.0,-32.5,2022.0,2
121.0,-32.0,2021.0,7
121.0,-32.0,2022.0,4
121.0,-32.0,2023.0,1
121.0,-31.5,2020.0,10
121.0,-31.0,2020.0,21
121.0,-30.0,2020.0,1
121.0,-30.0,2022.0,20
121.0,-26.0,2020.0,2
121.0,-22.5,2024.0,8
121.0,-22.0,2021.0,6
121.0,-22.0,2024.0,6
121.0,-21.5,2021.0,1
121.0,-21.5,2023.0,1
121.0,-21.5,2024.0,3
121.0,-21.0,2022.0,6
121.0,-21.0,2024.0,9
121.0,-20.5,2021.0,5
121.0,-20.5,2024.0,1
121.0,-20.0,2020.0,1
121.0,-20.0,2022.0,1
121.0,-20.0,2024.0,5
121.5,-34.0,2020.0,1
121.5,-33.5,2023.0,1
121.5,-33.0,2024.0,5
121.5,-32.5,2020.0,22
121.5,-32.0,2020.0,78
121.5,-32.0,2021.0,6
121.5,-31.5,2023.0,6
121.5,-27.5,2020.0,2
121.5,-23.0,2023.0,4
121.5,-22.5,2021.0,1
121.5,-22.5,2024.0,21
121.5,-22.0,2021.0,1
121.5,-22.0,2024.0,7
121.5,-21.5,2023.0,3
121.5,-21.5,2024.0,3
121.5,-21.0,2021.0,5
121.5,-21.0,2024.0,18
121.5,-20.5,2021.0,4
121.5,-20.5,2022.0,1
121.5,-20.5,2024.0,1
121.5,-20.0,2020.0,4
121.5,-20.0,2021.0,9
121.5,-20.0,2022.0,3
121.5,-20.0,2024.0,6
121.5,-19.5,2021.0,6
121.5,-19.5,2022.0,1
121.5,-19.5,2023.0,1
121.5,-19.0,2023.0,5
121.5,-19.0,2024.0,29
121.5,-18.5,2020.0,1
121.5,-18.5,2023.0,3
122.0,-34.0,2024.0,2
122.0,-33.0,2020.0,54
122.0,-32.5,2020.0,190
122.0,-28.5,2021.0,1
122.0,-25.5,2022.0,4
122.0,-25.0,2020.0,3
122.0,-25.0,2022.0,5
122.0,-24.0,2023.0,2
122.0,-23.0,2021.0,2
122.0,-23.0,2022.0,5
122.0,-23.0,2023.0,1
122.0,-23.0,2024.0,1
122.0,-22.5,2021.0,2
122.0,-22.5,2023.0,9
122.0,-22.0,2021.0,1
122.0,-22.0,2024.0,1
122.0,-21.5,2021.0,5
122.0,-21.5,2023.0,2
122.0,-21.0,2021.0,2
122.0,-20.5,2021.0,3
122.0,-20.5,2022.0,2
122.0,-20.5,2023.0,35
122.0,-20.5,2024.0,1
122.0,-20.0,2020.0,1
122.0,-20.0,2021.0,14
122.0,-20.0,2022.0,11
122.0,-20.0,2023.0,2
122.0,-20.0,2024.0,5
122.0,-19.5,2020.0,6
122.0,-19.5,2021.0,3
122.0,-19.0,2020.0,2
122.0,-19.0,2021.0,3
122.0,-19.0,2022.0,1
122.0,-19.0,2023.0,53
122.0,-18.5,2021.0,39
122.0,-18.5,2022.0,5
122.0,-18.5,2023.0,3
122.0,-18.5,2024.0,4
122.0,-18.0,2023.0,1
122.0,-17.5,2021.0,7
122.0,-17.5,2023.0,1
122.0,-17.5,2024.0,1
122.5,-34.0,2020.0,3
122.5,-34.0,2023.0,1
122.5,-33.5,2020.0,13
122.5,-33.0,2020.0,6
122.5,-32.5,2020.0,69
122.5,-32.0,2020.0,2
122.5,-31.5,2022.0,1
122.5,-28.5,2021.0,2
122.5,-26.0,2021.0,1
122.5,-26.0,2022.0,2
122.5,-25.0,2024.0,2
122.5,-24.0,2022.0,1
122.5,-23.5,2020.0,1
122.5,-23.5,2024.0,2
122.5,-23.0,2023.0,3
122.5,-21.5,2023.0,5
122.5,-21.0,2023.0,7
122.5,-21.0,2024.0,7
