Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,SEIFA_IRSD,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description8,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Total,Aust
9A.4,2021-22,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,0,429,91,71,na,..,na,,na
9A.4,2021-22,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,0,41,14,0,na,..,na,,na
9A.4,2021-22,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Number,,,,State and territory governments (unpublished),no.,na,..,20,4,0,na,..,na,,na
9A.4,2021-22,Human resources,All ages,All people,All people,Major cities,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,0,50,46,69,..,na,..,,na
9A.4,2021-22,Human resources,All ages,All people,All people,Inner regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,0,53,24,13,na,na,..,,na
9A.4,2021-22,Human resources,All ages,All people,All people,Outer regional,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,0,62,48,34,na,..,na,,na
9A.4,2021-22,Human resources,All ages,All people,All people,Remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,0,56,15,0,na,..,na,,na
9A.4,2021-22,Human resources,All ages,All people,All people,Very remote,,,Salaried personnel (FTE),Firefighters by region,Rate per 100000 people,,,,Derived from State and territory governments (unpublished); ABS Regional population,rate,na,..,37,5,0,na,..,na,,na
9A.4,2021-22,Human resources,<30 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,714,187,494,54,83,21,26,14,,1593
9A.4,2021-22,Human resources,30-39 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1798,1215,1208,355,316,92,126,83,,5193
9A.4,2021-22,Human resources,40-49 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1893,1054,1178,342,352,100,125,66,,5110
9A.4,2021-22,Human resources,50-59 years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,1891,816,1214,341,340,110,81,45,,4838
9A.4,2021-22,Human resources,60+ years old,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,State and territory governments (unpublished),no.,577,482,347,96,161,19,42,12,,1736
9A.4,2021-22,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters by age group,Number,,,,Derived from State and territory governments (unpublished),no.,6873,3754,4441,1186,1252,342,400,220,,18468
9A.4,2021-22,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (FTE),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,1.6,1.6,3.8,5.6,4.6,5,3.4,5.3,,2.5
9A.4,2021-22,Human resources,All ages,All people,All people,All areas,,,Salaried personnel (headcount),Firefighters attrition rate,,,,,Derived from State and territory governments (unpublished),%,7.1,7.8,5.9,5.5,5.3,5,3.3,5.9,,6.6
9A.4,2021-22,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Firefighters,,,,,State and territory governments (unpublished),no.,69845,29084,11868,12083,11491,3909,1240,252,,139772
9A.4,2021-22,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Support staff,,,,,State and territory governments (unpublished),no.,7693,23721,16567,2166,2006,849,0,0,,53002
9A.4,2021-22,Human resources,All ages,All people,All people,All areas,,,Volunteers (headcount),Total volunteer staff,,,,,Derived from State and territory governments (unpublished),no.,77538,52805,28435,14249,13497,4758,1240,252,,192774
