Calendar year,Calendar month,Region,Average FFDI
2022,3,Wimmera,12.41106053
2022,4,Central,4.11481352
2022,4,East Gippsland,1.398087141
2022,4,Mallee,9.813723118
2022,4,North Central,4.222694746
2022,4,North East,3.501528804
2022,4,Northern Country,6.083936924
2022,4,South West,6.234054172
2022,4,West and South Gippsland,2.32281078
2022,4,Wimmera,8.780810812
2022,5,Central,2.099749753
2022,5,East Gippsland,2.206976341
2022,5,Mallee,4.868468157
2022,5,North Central,2.027975605
2022,5,North East,2.002288414
2022,5,Northern Country,3.072877086
2022,5,South West,3.29457332
2022,5,West and South Gippsland,1.995008646
2022,5,Wimmera,4.192276914
2022,6,Central,1.321292427
2022,6,East Gippsland,1.820231484
2022,6,Mallee,3.143333504
2022,6,North Central,1.028760181
2022,6,North East,0.738004546
2022,6,Northern Country,1.787443017
2022,6,South West,1.464091005
2022,6,West and South Gippsland,1.149837409
2022,6,Wimmera,2.275528233
2022,7,Central,1.616327089
2022,7,East Gippsland,1.511425556
2022,7,Mallee,4.470359762
2022,7,North Central,1.58023616
2022,7,North East,1.5362907
2022,7,Northern Country,2.694119626
2022,7,South West,1.746751094
2022,7,West and South Gippsland,1.490182036
2022,7,Wimmera,2.682090945
2022,8,Central,1.587581984
2022,8,East Gippsland,1.849883311
2022,8,Mallee,5.591626167
2022,8,North Central,1.17836098
2022,8,North East,0.844232591
2022,8,Northern Country,2.106740274
2022,8,South West,1.761492014
2022,8,West and South Gippsland,1.469586156
2022,8,Wimmera,2.692111965
2022,9,Central,1.6063977
2022,9,East Gippsland,2.003513083
2022,9,Mallee,4.357227448
2022,9,North Central,1.320633215
2022,9,North East,1.177668097
2022,9,Northern Country,1.884176865
2022,9,South West,1.6087369
2022,9,West and South Gippsland,1.817001793
2022,9,Wimmera,2.115497153
2022,10,Central,1.096981606
2022,10,East Gippsland,1.727849669
2022,10,Mallee,2.979076843
2022,10,North Central,1.130955671
2022,10,North East,1.130773877
2022,10,Northern Country,1.584121324
2022,10,South West,1.534774923
2022,10,West and South Gippsland,1.501925536
2022,10,Wimmera,2.165901775
2022,11,Central,2.009559786
2022,11,East Gippsland,2.533166452
2022,11,Mallee,5.607852183
2022,11,North Central,2.315124987
2022,11,North East,1.854597058
2022,11,Northern Country,4.092307613
2022,11,South West,2.339851909
2022,11,West and South Gippsland,1.819607908
2022,11,Wimmera,4.276591874
2022,12,Central,5.023091844
2022,12,East Gippsland,3.316244169
2022,12,Mallee,15.39633696
2022,12,North Central,6.710543887
2022,12,North East,6.871900656
2022,12,Northern Country,11.05383459
2022,12,South West,6.580735577
2022,12,West and South Gippsland,3.822470247
2022,12,Wimmera,13.80265246
2023,1,Central,8.678744546
2023,1,East Gippsland,4.01291862
2023,1,Mallee,25.26260097
2023,1,North Central,11.91208655
2023,1,North East,9.909888198
2023,1,Northern Country,17.59020061
2023,1,South West,12.08736083
2023,1,West and South Gippsland,6.445321241
2023,1,Wimmera,23.77055479
2023,2,Central,10.10723704
2023,2,East Gippsland,6.403840903
2023,2,Mallee,26.62254163
2023,2,North Central,14.27778775
2023,2,North East,10.8742231
2023,2,Northern Country,21.09389624
2023,2,South West,11.46555464
2023,2,West and South Gippsland,8.838179785
2023,2,Wimmera,22.17637854
2023,3,Central,8.160573503
2023,3,East Gippsland,6.189588167
2023,3,Mallee,17.37019677
2023,3,North Central,9.977795179
2023,3,North East,8.944321201
2023,3,Northern Country,13.63464018
2023,3,South West,7.199012594
2023,3,West and South Gippsland,6.710500172
2023,3,Wimmera,13.66395608
2023,4,Central,2.713693266
2023,4,East Gippsland,2.436784122
2023,4,Mallee,9.148989246
2023,4,North Central,3.148933757
2023,4,North East,2.502443792
2023,4,Northern Country,5.470477212
2023,4,South West,2.796707281
2023,4,West and South Gippsland,2.370066537
2023,4,Wimmera,6.42499207
2023,5,Central,2.015325726
2023,5,East Gippsland,2.354199093
2023,5,Mallee,7.013422849
2023,5,North Central,2.354608894
2023,5,North East,1.916858932
2023,5,Northern Country,4.36627197
2023,5,South West,2.135770051
2023,5,West and South Gippsland,1.912798265
2023,5,Wimmera,4.514973464
2023,6,Central,1.531651716
2023,6,East Gippsland,2.675549116
2023,6,Mallee,3.571901983
2023,6,North Central,0.949882965
2023,6,North East,0.727960143
2023,6,Northern Country,1.628414151
2023,6,South West,1.316273048
